,date,timestamp,individuals,to,Year,Month,Day
0,2013-12-31,1388448000,68465,Ethiopia,2013,12,31
1,2014-03-31,1396224000,157422,Ethiopia,2014,03,31
2,2014-06-30,1404086400,208820,Ethiopia,2014,06,30
3,2014-09-30,1412035200,255571,Ethiopia,2014,09,30
4,2014-12-31,1419984000,251545,Ethiopia,2014,12,31
5,2015-01-31,1422662400,253030,Ethiopia,2015,01,31
6,2015-02-28,1425081600,260465,Ethiopia,2015,02,28
7,2015-03-31,1427760000,261643,Ethiopia,2015,03,31
8,2015-04-30,1430352000,265469,Ethiopia,2015,04,30
9,2015-05-31,1433030400,273143,Ethiopia,2015,05,31
10,2015-06-30,1435622400,275415,Ethiopia,2015,06,30
11,2015-07-31,1438300800,283030,Ethiopia,2015,07,31
12,2015-08-31,1440979200,287912,Ethiopia,2015,08,31
13,2015-09-30,1443571200,289188,Ethiopia,2015,09,30
14,2015-10-31,1446249600,289351,Ethiopia,2015,10,31
15,2015-11-30,1448841600,281763,Ethiopia,2015,11,30
16,2015-12-31,1451520000,282033,Ethiopia,2015,12,31
17,2016-01-31,1454198400,283416,Ethiopia,2016,01,31
18,2016-02-29,1456704000,283007,Ethiopia,2016,02,29
19,2016-03-31,1459382400,284016,Ethiopia,2016,03,31
20,2016-04-30,1461974400,284306,Ethiopia,2016,04,30
21,2016-05-31,1464652800,285657,Ethiopia,2016,05,31
22,2016-06-30,1467244800,285809,Ethiopia,2016,06,30
23,2016-07-31,1469923200,280301,Ethiopia,2016,07,31
24,2016-08-31,1472601600,281612,Ethiopia,2016,08,31
25,2016-09-30,1475193600,300644,Ethiopia,2016,09,30
26,2016-10-31,1477872000,321342,Ethiopia,2016,10,31
27,2016-11-30,1480464000,328145,Ethiopia,2016,11,30
28,2016-12-31,1483142400,338823,Ethiopia,2016,12,31
29,2017-01-31,1485820800,342591,Ethiopia,2017,01,31
30,2017-02-28,1488240000,349086,Ethiopia,2017,02,28
31,2017-03-31,1490918400,366198,Ethiopia,2017,03,31
32,2017-04-30,1493510400,375755,Ethiopia,2017,04,30
33,2017-05-31,1496188800,378285,Ethiopia,2017,05,31
34,2017-06-30,1498780800,380818,Ethiopia,2017,06,30
35,2017-07-31,1501459200,382322,Ethiopia,2017,07,31
36,2017-08-31,1504137600,388086,Ethiopia,2017,08,31
37,2017-09-30,1506729600,416887,Ethiopia,2017,09,30
38,2017-10-31,1509408000,418892,Ethiopia,2017,10,31
39,2017-11-30,1512000000,420010,Ethiopia,2017,11,30
40,2017-12-31,1514678400,421867,Ethiopia,2017,12,31
41,2018-01-31,1517356800,428928,Ethiopia,2018,01,31
42,2018-02-28,1519776000,435083,Ethiopia,2018,02,28
43,2018-03-31,1522454400,440319,Ethiopia,2018,03,31
44,2018-04-30,1525046400,440147,Ethiopia,2018,04,30
45,2018-05-31,1527724800,443352,Ethiopia,2018,05,31
46,2018-06-30,1530316800,445481,Ethiopia,2018,06,30
47,2018-07-31,1532995200,446711,Ethiopia,2018,07,31
48,2018-08-31,1535673600,422240,Ethiopia,2018,08,31
